feature_base,shap_importance,domain,group_rel
SLQ120,0.7407729907909695,behavioral-lifestyle,0.2111364713847322
SLQ050,0.2965750424180096,behavioral-lifestyle,0.08453036049553439
SMD460,0.21185601329256515,behavioral-lifestyle,0.060383588014551605
SLQ320,0.15435478293773217,behavioral-lifestyle,0.04399448227186408
DBD910,0.12707641273359452,behavioral-lifestyle,0.036219551352908316
WHD020,0.10738449154192818,behavioral-lifestyle,0.03060692399353977
PAD680,0.10475238962195971,behavioral-lifestyle,0.029856717494901458
DBQ700,0.09957429368771323,behavioral-lifestyle,0.028380847130242158
SMQ940,0.09752778852598246,behavioral-lifestyle,0.027797548489646332
SLD012,0.09439348184212985,behavioral-lifestyle,0.026904202671571065
HUQ090,0.5664286966911594,clinical-health,0.2001523061581908
HUQ010,0.2620034287455879,clinical-health,0.09258109765822024
AUQ054,0.22405532307794665,clinical-health,0.07917181788817632
MCQ366B,0.20631679210397313,clinical-health,0.0729037599613105
BPQ020,0.1955541962736981,clinical-health,0.06910070692345813
OHQ770,0.16783971254423122,clinical-health,0.0593075628528268
OHQ640,0.1459959374413511,clinical-health,0.05158888265956998
MCQ160L,0.143963147643073,clinical-health,0.05087057942310446
OHQ030,0.10700025438907439,clinical-health,0.03780943267986192
OHQ845,0.09637367857066403,clinical-health,0.03405444344812921
DED120,0.19271036296531704,other,0.13179164959667494
WTDRD1PP,0.14478516896627386,other,0.09901634744278241
CBQ685,0.13458071922217105,other,0.09203768140579446
CDQ001,0.10349889480438755,other,0.07078130032974858
CBQ930,0.08263588905144406,other,0.056513411974309216
CBQ875,0.07634762075895454,other,0.052212962125004474
CBQ645,0.06393760386644312,other,0.04372594267976043
CBQ536,0.053086641709720245,other,0.036305136759722925
CBQ910,0.05056662122624342,other,0.03458173355802487
DBQ780,0.04839887641121015,other,0.03309924626112071
DMDMARTZ,0.2303189981696319,socio-demographic,0.16751138781980618
INDFMMPI,0.1908676510166865,socio-demographic,0.13881835786800173
FSDHH,0.18597515625398103,socio-demographic,0.1352600383454484
OCD150,0.1630916291266832,socio-demographic,0.11861681126574992
RIDAGEYR,0.08827429052820226,socio-demographic,0.06420203731651011
SDMVSTRA,0.08091856052344708,socio-demographic,0.05885220273353391
HIQ210,0.0791265622382453,socio-demographic,0.057548879420605215
INDFMPIR,0.07625704741603728,socio-demographic,0.05546187655042276
WTINTPRP,0.05441396168616976,socio-demographic,0.03957536421772212
RIAGENDR,0.052588732684246395,socio-demographic,0.03824787214962986
