feature_base,shap_importance,domain,group_rel
SLQ120,0.7407729907909695,behavioral-lifestyle,0.2111364713847322
SLQ050,0.2965750424180096,behavioral-lifestyle,0.08453036049553439
SMD460,0.21185601329256515,behavioral-lifestyle,0.060383588014551605
SLQ320,0.15435478293773217,behavioral-lifestyle,0.04399448227186408
DBD910,0.12707641273359452,behavioral-lifestyle,0.036219551352908316
WHD020,0.10738449154192818,behavioral-lifestyle,0.03060692399353977
PAD680,0.10475238962195971,behavioral-lifestyle,0.029856717494901458
DBQ700,0.09957429368771323,behavioral-lifestyle,0.028380847130242158
SMQ940,0.09752778852598246,behavioral-lifestyle,0.027797548489646332
SLD012,0.09439348184212985,behavioral-lifestyle,0.026904202671571065
SLQ040,0.09393856930785591,behavioral-lifestyle,0.026774542669830547
DBD905,0.09333656018176444,behavioral-lifestyle,0.0266029569287135
WHD140,0.09199124780981367,behavioral-lifestyle,0.026219513538288833
WHQ150,0.09084879579385705,behavioral-lifestyle,0.02589388977719855
WHQ070,0.07992619158445811,behavioral-lifestyle,0.02278070916751935
WHQ030,0.07980336646009425,behavioral-lifestyle,0.02274570132614559
ALQ151,0.07829189683495111,behavioral-lifestyle,0.022314899491811462
WHD010,0.0662490775150725,behavioral-lifestyle,0.018882433124472565
SLD013,0.0641373809702432,behavioral-lifestyle,0.0182805535167475
WHD050,0.06298084867972009,behavioral-lifestyle,0.017950916570072625
SMQ874,0.05665352079095161,behavioral-lifestyle,0.016147490013844745
DBQ945,0.04726825424867515,behavioral-lifestyle,0.013472484195091028
DBQ229,0.046011641909191846,behavioral-lifestyle,0.013114322249994025
DBD900,0.04194784490040449,behavioral-lifestyle,0.01195605140112974
WHD120,0.041335754196082146,behavioral-lifestyle,0.011781592190164145
DBQ235C,0.03346777666459704,behavioral-lifestyle,0.00953904685767526
SLQ310,0.032645041223581396,behavioral-lifestyle,0.009304549298964697
ALQ170,0.03242741721072402,behavioral-lifestyle,0.009242521705174823
DBQ930,0.025809947019604675,behavioral-lifestyle,0.007356398259779329
SLQ030,0.02478661693688097,behavioral-lifestyle,0.007064726849760146
SLQ330,0.022607207218802907,behavioral-lifestyle,0.006443547509669382
WHD110,0.021799603595308224,behavioral-lifestyle,0.006213362849237686
ALQ121,0.02166868073961066,behavioral-lifestyle,0.00617604697768292
DBQ197,0.020495454041910454,behavioral-lifestyle,0.005841651760570202
DBD895,0.01945527822276246,behavioral-lifestyle,0.005545178947974632
PAQ635,0.019021828967107624,behavioral-lifestyle,0.005421636449124097
PAQ665,0.01859567214272718,behavioral-lifestyle,0.00530017245236021
SMQ020,0.018550556772099477,behavioral-lifestyle,0.005287313586988543
DBQ235B,0.015339778315910295,behavioral-lifestyle,0.004372171644631745
SLQ300,0.013987897272397371,behavioral-lifestyle,0.003986856039436076
SMQ880,0.013663563389506356,behavioral-lifestyle,0.003894413803507632
PAQ620,0.01227543910706841,behavioral-lifestyle,0.0034987680841294627
ALQ142,0.011618547053568526,behavioral-lifestyle,0.0033115395107597124
WHQ225,0.010756098273045816,behavioral-lifestyle,0.0030657227834581446
DBQ940,0.008524702092568826,behavioral-lifestyle,0.0024297261668641368
PAQ605,0.008503578352073587,behavioral-lifestyle,0.002423705439750626
SMQ872,0.006335144222221673,behavioral-lifestyle,0.0018056543818708083
SMQ860,0.005481352579825719,behavioral-lifestyle,0.0015623051278965574
SMQ856,0.005040775701245643,behavioral-lifestyle,0.0014367311009361907
ALQ130,0.00482729089589091,behavioral-lifestyle,0.001375883271631931
WHQ040,0.004426299096331165,behavioral-lifestyle,0.0012615918562242806
SMQ878,0.00278321901192343,behavioral-lifestyle,0.0007932781683103148
DBQ935,0.002539591968500944,behavioral-lifestyle,0.0007238391432357173
SMDANY,0.0020802274431277355,behavioral-lifestyle,0.0005929102268573533
ALQ111,0.0,behavioral-lifestyle,0.0
CBQ596,0.0,behavioral-lifestyle,0.0
DBQ235A,0.0,behavioral-lifestyle,0.0
PAQ650,0.0,behavioral-lifestyle,0.0
SMAQUEX,0.0,behavioral-lifestyle,0.0
SMAQUEX2,0.0,behavioral-lifestyle,0.0
SMQ681,0.0,behavioral-lifestyle,0.0
SMQ851,0.0,behavioral-lifestyle,0.0
SMQ862,0.0,behavioral-lifestyle,0.0
SMQ863,0.0,behavioral-lifestyle,0.0
SMQ866,0.0,behavioral-lifestyle,0.0
SMQ870,0.0,behavioral-lifestyle,0.0
HUQ090,0.5664286966911594,clinical-health,0.2001523061581908
HUQ010,0.2620034287455879,clinical-health,0.09258109765822024
AUQ054,0.22405532307794665,clinical-health,0.07917181788817632
MCQ366B,0.20631679210397313,clinical-health,0.0729037599613105
BPQ020,0.1955541962736981,clinical-health,0.06910070692345813
OHQ770,0.16783971254423122,clinical-health,0.0593075628528268
OHQ640,0.1459959374413511,clinical-health,0.05158888265956998
MCQ160L,0.143963147643073,clinical-health,0.05087057942310446
OHQ030,0.10700025438907439,clinical-health,0.03780943267986192
